id,latitude,longitude,district_group,district,price
26864022,37.38378,-5.99369,Casco Antiguo,Santa Cruz,350.0
27055097,37.39350485433533,-5.988414090754645,Casco Antiguo,"Encarnación, Regina",104.0
27062404,37.39274,-5.99707,Casco Antiguo,Museo,87.0
27074661,37.37118148803711,-5.984951019287109,Sur,El Porvenir,131.0
27085918,37.38428326011719,-6.005152836441994,Triana,Triana Casco Antiguo,500.0
27085962,37.3802827,-6.0014199,Triana,Triana Este,60.0
27127390,37.38987,-5.99207,Casco Antiguo,Alfalfa,457.0
27150068,37.3893,-5.98799,Casco Antiguo,San Bartolomé,450.0
27161127,37.38469,-6.00399,Triana,Triana Casco Antiguo,84.0
27167086,37.39826513025715,-5.992246155819694,Casco Antiguo,Feria,92.0
27180138,37.38956,-5.9813,Nervión,an Roque,117.0
27193170,37.39859,-5.99501,Casco Antiguo,San Lorenzo,93.0
27194017,37.39859,-5.99501,Casco Antiguo,San Lorenzo,95.0
27195405,37.39859,-5.99501,Casco Antiguo,San Lorenzo,89.0
27227302,37.38883,-5.98843,Casco Antiguo,San Bartolomé,129.0
27250081,37.39763,-5.99405,Casco Antiguo,Feria,162.0
27323100,37.38,-5.99957,Triana,Triana Este,117.0
27346783,37.38398,-5.99124,Casco Antiguo,Santa Cruz,428.0
27348121,37.38518,-5.98904,Casco Antiguo,Santa Cruz,333.0
27385218,37.39034,-5.98947,Casco Antiguo,Alfalfa,417.0
27432887,37.39081,-5.98942,Casco Antiguo,Alfalfa,91.0
27449557,37.38935,-5.99276,Casco Antiguo,Santa Cruz,69.0
27450050,37.38741,-5.99194,Casco Antiguo,Santa Cruz,206.0
27450090,37.39152,-5.99292,Casco Antiguo,Alfalfa,97.0
27458397,37.39513,-5.99025,Casco Antiguo,Feria,108.0
27477377,37.39082,-5.99783,Casco Antiguo,Alfalfa,118.0
27487543,37.38947,-6.00325,Casco Antiguo,Museo,199.0
27489892,37.39744,-5.99516,Casco Antiguo,San Lorenzo,135.0
27515718,37.38092,-6.00107,Triana,Triana Este,117.0
27515966,37.37868,-6.00074,Triana,Triana Este,104.0
27545726,37.38572,-5.96715,Nervión,Nervión,40.0
27588413,37.38595,-5.9727,Nervión,La Buhaira,39.0
27654962,37.39866,-5.99735,Casco Antiguo,San Lorenzo,150.0
27723850,37.38929,-5.9973,Casco Antiguo,Arenal,91.0
27724714,37.40131,-5.99158,Casco Antiguo,San Gil,1000.0
27746883,37.3895,-5.98723,Casco Antiguo,San Bartolomé,191.0
27778982,37.38642,-5.98857,Casco Antiguo,Santa Cruz,274.0
27806474,37.38331,-6.01016,Triana,Triana Oeste,90.0
27843645,37.3918722,-5.9972309,Casco Antiguo,Alfalfa,85.0
27844077,37.39122551168163,-5.996507109565287,Casco Antiguo,Alfalfa,85.0
27849615,37.39938,-5.99171,Casco Antiguo,Feria,91.0
