listing_id,num_reviews_sampled,avg_sentiment_score,num_reviews_total,sentiment_label
15071207,30,0.754,361,Positiv
15082288,30,0.785,366,Positiv
15108171,30,0.8675,229,Positiv
15124085,30,0.717,184,Positiv
15154939,30,0.824,101,Positiv
15164356,30,0.5118,267,Positiv
15174590,30,0.8502,165,Positiv
15185372,30,0.7892,146,Positiv
15206248,30,0.8182,531,Positiv
15216269,30,0.7299,74,Positiv
15227038,30,0.6665,585,Positiv
15235209,30,0.7003,234,Positiv
15244945,30,0.7319,63,Positiv
15249905,30,0.8201,363,Positiv
15253736,30,0.8299,441,Positiv
15265757,30,0.6535,45,Positiv
15267735,30,0.6793,581,Positiv
15267804,30,0.7522,116,Positiv
15282839,30,0.7483,116,Positiv
15322323,30,0.891,188,Positiv
15326586,30,0.7521,132,Positiv
15348095,30,0.7195,177,Positiv
15360160,30,0.6815,38,Positiv
15363783,30,0.747,114,Positiv
